time,lat,lon,depth,NO3_darwin_clim
2,-12.25,177.25,5,3.5144947
2,-12.25,177.75,5,3.5222232
2,-12.25,178.25,5,3.5301385
2,-12.25,178.75,5,3.5389128
2,-12.25,179.25,5,3.5485458
2,-12.25,179.75,5,3.558933
2,-11.75,176.75,5,3.5047784
2,-11.75,177.25,5,3.5129793
2,-11.75,177.75,5,3.5213134
2,-11.75,178.25,5,3.5297818
2,-11.75,178.75,5,3.5389023
2,-11.75,179.25,5,3.5486753
2,-11.75,179.75,5,3.5592046
2,-11.25,176.75,5,3.5010676
2,-11.25,177.25,5,3.5098894
2,-11.25,177.75,5,3.5188649
2,-11.25,178.25,5,3.5279944
2,-11.25,178.75,5,3.5375845
2,-11.25,179.25,5,3.547635
2,-11.25,179.75,5,3.5583513
2,-10.75,176.75,5,3.4948323
2,-10.75,177.25,5,3.50421
2,-10.75,177.75,5,3.5138836
2,-10.75,178.25,5,3.5238535
2,-10.75,178.75,5,3.534115
2,-10.75,179.25,5,3.5446694
2,-10.75,179.75,5,3.5556467
2,-10.25,176.75,5,3.4895606
2,-10.25,177.25,5,3.4994888
2,-10.25,177.75,5,3.5098603
2,-10.25,178.25,5,3.5206745
2,-10.25,178.75,5,3.5316787
2,-10.25,179.25,5,3.5428724
2,-10.25,179.75,5,3.5542927
2,-9.75,176.75,5,3.485636
2,-9.75,177.25,5,3.496107
2,-9.75,177.75,5,3.5071747
2,-9.75,178.25,5,3.5188396
2,-9.75,178.75,5,3.5306833
2,-9.75,179.25,5,3.542706
2,-9.75,179.75,5,3.5548227
2,-9.25,176.75,5,3.486675
2,-9.25,177.25,5,3.4976196
2,-9.25,177.75,5,3.5092695
2,-9.25,178.25,5,3.5216248
2,-9.25,178.75,5,3.5341842
2,-9.25,179.25,5,3.5469472
2,-9.25,179.75,5,3.5596704
2,-8.75,176.75,5,3.4934192
2,-8.75,177.25,5,3.5047576
2,-8.75,177.75,5,3.516858
2,-8.75,178.25,5,3.5297198
2,-8.75,178.75,5,3.542852
2,-8.75,179.25,5,3.5562537
2,-8.75,179.75,5,3.5694802
2,-8.25,176.75,5,3.5101037
2,-8.25,177.25,5,3.5212333
2,-8.25,177.75,5,3.5331483
2,-8.25,178.25,5,3.5458484
2,-8.25,178.75,5,3.558861
2,-8.25,179.25,5,3.5721862
2,-8.25,179.75,5,3.5853786
2,-7.75,176.75,5,3.5354998
2,-7.75,177.25,5,3.545893
2,-7.75,177.75,5,3.5570652
2,-7.75,178.25,5,3.5690176
2,-7.75,178.75,5,3.5813046
2,-7.75,179.25,5,3.5939264
2,-7.75,179.75,5,3.606614
2,-7.25,176.75,5,3.57309
2,-7.25,177.25,5,3.5822484
2,-7.25,177.75,5,3.5921268
2,-7.25,178.25,5,3.6027062
2,-7.25,178.75,5,3.6137385
2,-7.25,179.25,5,3.625207
2,-7.25,179.75,5,3.637116
2,-6.75,176.75,5,3.617528
2,-6.75,177.25,5,3.6251836
2,-6.75,177.75,5,3.633448
2,-6.75,178.25,5,3.6423128
2,-6.75,178.75,5,3.651785
2,-6.75,179.25,5,3.661855
2,-6.75,179.75,5,3.672824
2,-6.25,176.75,5,3.6707697
2,-6.25,177.25,5,3.6780686
2,-6.25,177.75,5,3.6858582
2,-6.25,178.25,5,3.694139
2,-6.25,178.75,5,3.703365
2,-6.25,179.25,5,3.713537
2,-6.25,179.75,5,3.7248733
2,-5.75,176.75,5,3.7264404
2,-5.75,177.25,5,3.7337883
2,-5.75,177.75,5,3.7414966
2,-5.75,178.25,5,3.7495644
2,-5.75,178.75,5,3.7589068
2,-5.75,179.25,5,3.7695205
2,-5.75,179.75,5,3.781485
2,-5.25,176.75,5,3.7869227
2,-5.25,177.25,5,3.7959788
2,-5.25,177.75,5,3.80508
2,-5.25,178.25,5,3.8142545
2,-5.25,178.75,5,3.82436
2,-5.25,179.25,5,3.8354256
